userId,movieId,rating,timestamp
140400,275079,3.5,1653782463
74417,69526,1.0,1511831626
149333,912,5.0,1138010777
170625,1408,3.0,970775299
59586,153,2.0,1201899633
72871,8780,3.5,1201431776
21773,3527,4.0,1688589454
85139,1393,3.0,1193477559
70211,1954,3.5,1199904489
113309,6291,4.0,1595850998
115892,2501,3.0,1013735948
42545,110675,4.0,1446742716
29262,209917,3.5,1588405019
64855,7361,5.0,1447932494
179275,1,3.5,1222031839
72945,440,4.0,844079985
7937,117863,5.0,1560383712
65902,3863,3.5,1232067371
32514,60,3.0,1378595557
50845,168252,4.0,1653503217
78665,114060,3.5,1506498746
198676,177939,3.5,1610309952
176747,16,4.5,1348610605
196329,8972,2.5,1155003720
70361,81834,4.5,1589243285
85971,94864,4.5,1513559185
95978,1242,4.0,1015284746
119378,317,3.0,834805119
147587,201773,5.0,1664558307
56070,2107,5.0,1004707674
47549,4973,3.5,1494103802
151159,858,4.0,1029116910
174192,3006,5.0,1299345616
48594,2916,4.0,942413359
83218,4306,2.0,1492457406
83153,1968,4.0,1462636364
170213,93363,4.0,1439474752
57231,780,5.0,851872424
14138,160,2.0,841247680
133655,318,4.5,1296928800
137300,1201,5.0,1436729740
122292,2529,3.5,1518593587
150058,904,5.0,1007329126
37717,5151,3.0,1079266309
52104,2542,4.5,1169846831
165265,58303,3.5,1218130765
127519,5349,3.0,1504125664
102418,8665,5.0,1170576734
166165,35836,2.0,1226068662
31167,3327,5.0,976585929
191488,5325,3.0,1123437552
21997,4886,3.5,1225478135
128942,61236,5.0,1606499700
159579,1717,4.5,1650831900
87281,515,5.0,963019214
122315,1513,4.0,1360436078
200649,2391,5.0,936267179
131780,3081,5.0,1545326258
147830,96829,4.0,1596227205
28397,4223,4.0,1094761108
20744,3185,1.0,1020442538
200281,117529,3.0,1515807191
41269,89492,4.5,1579200537
176551,4643,0.5,1156879842
139452,64614,2.5,1492448201
182796,5669,3.5,1221087344
200703,2693,5.0,982853362
75982,47640,4.5,1447337339
155382,597,4.0,838637326
140410,5679,3.5,1190278851
144373,97913,3.5,1478483949
140792,60040,3.0,1298489066
6137,82041,4.5,1368893526
116084,1086,5.0,1591450957
12332,296,5.0,1516308428
25578,3256,4.0,1105843996
130842,7323,4.0,1595986961
114313,167426,3.5,1578188264
73774,34150,2.0,1635132215
7301,431,4.0,1236169189
44940,74458,5.0,1581370672
91770,79987,4.0,1370344819
